pharmacy_id,name,address,latitude,longitude,source
ChIJuS7KL15z2jER-oJQ__-CLuA,Medi-Home Pharmacy (Bestari) Sdn. Bhd.,"32G, Jalan Bestari 2/2, Taman Nusa Bestari, 81200 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.4814653,103.6651539,google_places
ChIJC3IKpL1y2jER8Xp4jI1s7Vs,Medicare Pharmacy,"15, Jalan Jagung, Kampung Sepakat, 81750 Masai, Johor Darul Ta'zim, Malaysia",1.486115,103.882905,google_places
ChIJETfjhiJX0DER33xcF8b0hIs,Mediwell Pharmacy Sdn Bhd (Headquarter),"2-16, Jalan Susur Perdana Tengah, Taman Bukit Perdana 2, 83000 Batu Pahat, Johor Darul Ta'zim, Malaysia",1.8434067,102.9540315,google_places
ChIJAYRPd-5X0DERKdhxYCZAnpA,Mediwell Pharmacy Taman Soga,"15, Jalan Zamrud 1, Taman Dagang, 83000 Batu Pahat, Johor Darul Ta'zim, Malaysia",1.8389276,102.9308237,google_places
ChIJL10Dj1BR0DERctasmjZ0I9c,Mediwell Pharmacy Tongkang Pechah,"No40, Jalan Besar, Tongkang Pechah, 83010 Parit Yaani, Johor Darul Ta'zim, Malaysia",1.9173995,102.9535394,google_places
ChIJTwESux5t2jERSZrKdWEKxIo,Multicare Pharmacy Taman Pelangi,"62, Jalan Kuning, Taman Pelangi, 80400 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.4839374,103.7750406,google_places
ChIJEXah05Jv2jER-zY1-A9ICvU,MyFamily Pharmacy,"40, Jln Perjiranan 4/1, Bandar Dato Onn, 81100 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.5618865,103.7353623,google_places
ChIJm41l6Qh02jER9TbtYCoHTqw,Orange Pharmacy Sdn Bhd,"41, Jalan Kebudayaan 16, Taman Universiti, 81300 Skudai, Johor Darul Ta'zim, Malaysia",1.5399604,103.6311146,google_places
ChIJ5YZwkLRq2jER4Q9tIjfWfko,Pharmhouse Farmasi Pasir Gudang 安好药剂行 பார்மசி,"45, Jalan Sejambak 14, Taman Bukit Dahlia, 81700 Pasir Gudang, Johor Darul Ta'zim, Malaysia",1.4792859,103.893542,google_places
ChIJddb446XP0TERCp51desVHDE,Pharmony Pharmacy PLT,"219-3A, Jalan Raya, Happy Garden, Ledang,, Bukit Gambir, 84800 Bukit Gambir, Johor Darul Ta'zim, Malaysia",2.2131785,102.6547242,google_places
ChIJu9EIFMzL0TERFXEap-ado5M,Pharmony Pharmacy PLT (Pagoh Jaya),"Jalan Jaya 1/5A, 84600 Muar, Johor Darul Ta'zim, Malaysia",2.1339414,102.7163355,google_places
ChIJx4t-uF8V2jERi_BDy762H3I,Pt Bumi Sakti Pharma,"10, Jalan 9/12, Perjiranan 9 Taman Air Biru, 81700 Pasir Gudang, Johor Darul Ta'zim, Malaysia",1.4576246,103.9143324,google_places
ChIJB9ZDh_3z0DERyixl00M4BS4,RENGIT PHARMACY,"25, Jln Besar, Rengit, 83100 Rengit, Johor Darul Ta'zim, Malaysia",1.6797643999999998,103.148258,google_places
ChIJ2YlxQAB52jERqkt_d-5S_Ww,RX Wellness Pharmacy,"4945, Jalan Merbau 1, Bandar Putra Kulai, 81000 Kulai, Johor Darul Ta'zim, Malaysia",1.6511857,103.6220652,google_places
ChIJCV8lhHCY0DERBUzV-N30BlA,"Radiant Pharmacy Sdn Bhd, 667 Jalan Taib Pontian Johor","667, Jalan Taib, Kampung Atap, 82000 Pontian, Johor Darul Ta'zim, Malaysia",1.4854027,103.3908131,google_places
ChIJ658R-4Rg2jERRVsXFouckcw,Rancak Pharmacy Sdn Bhd (Kota Tinggi),"3, Jalan Maju 1, Taman Mawai Jaya, 81900 Kota Tinggi, Johor Darul Ta'zim, Malaysia",1.732743,103.90618,google_places
ChIJ_TrDr4V22jERpOqqZq8lNhs,RedCap Pharmacy,"Bandar Pulai Jaya, Skudai, Johor, Malaysia",1.5618193,103.597874,google_places
ChIJDWVi0mVR0DERAoNEdigREOc,Rengit Pharmacy - Sri Medan Branch,"13, Jalan Emas 10 Taman Emas, 2, Seri Medan, 83400, Johor Darul Ta'zim, Malaysia",1.9829085,102.9550155,google_places
ChIJw3ElLiRc0DERp2A0QNQ3jkY,Rite Aid Pharmacy PLT,"LC 133A, Jln Besar, Taman Jaya, 86400 Parit Raja, Johor, Malaysia",1.8655813,103.1147834,google_places
ChIJvyAvyatr2jERFyCoVeTJG0I,SK PHARMA FARMASI,"NO. 45, JALAN KOTA 3 TAMAN CAHAYA KOTA PUTERI MASAI, Kawasan Perindustrian Kota Puteri, 81750 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.493362,103.8429145,google_places
ChIJgYpRvChs0DERk99Bhw3URWs,SV Prohealth Pharmacy Sdn Bhd,"22, Jalan Intan 2/2, Taman Intan, 86000 Kluang, Johor Darul Ta'zim, Malaysia",2.0183142,103.3023714,google_places
ChIJzaPy6oVR0DERKN1gE15INzI,SY PHARMACY TAMAN MEGAH,"9, Jalan Megah 1, Taman Megah, 83000 Batu Pahat, Johor Darul Ta'zim, Malaysia",1.8694403,102.9826034,google_places
ChIJNRpmTs1W0DERk-uFpZr7GFU,SY Pharmacy,"59-2, Jalan Balau, Taman Batu Pahat, 83000 Batu Pahat, Johor Darul Ta'zim, Malaysia",1.8611213,102.9312565,google_places
ChIJ3SGpn3pt2jERFieGkLh_3Qo,Seyon Pharmacy Adda Heights,"127, Jln Adda 3/1, Taman Adda Heights, 81100 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.5468687,103.7478593,google_places
ChIJKaHZKL9z2jER7UwOO4fzXd4,Seyon Pharmacy Bandar Baru Uda,"No.24 (Ground & First Floor, Jln Padi Emas 1/2, UDA Business Centre, 81200 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.4941357,103.7088215,google_places
ChIJvWPTb4xr2jERqqcWj7CaN5c,Seyon Pharmacy Masai,"22, Jalan Ara 1, Taman Rinting, 81750 Masai, Johor Darul Ta'zim, Malaysia",1.492956,103.8738754,google_places
ChIJE2dNAGJz2jERLdzK4kQfSIU,Seyon Pharmacy Tampoi Indah,"No.2 & 4, Jalan Titiwangsa 3, Taman Tampoi Indah, 81200 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.5073073,103.6882752,google_places
ChIJmSTDT3Rz2jERTCEMexZMCnU,Smile Pharmacy,"shop, 14, Jalan Pendekar 17, Taman Ungku Tun Aminah, 81300 Skudai, Johor Darul Ta'zim, Malaysia",1.5130865999999998,103.6558315,google_places
ChIJtzJzx5t52jERD-dfq8qLbSw,Soul Well Pharmacy (Kulai),"No 26, Taman Khet Loong, 81000 Kulai, Johor Darul Ta'zim, Malaysia",1.6545811,103.5958638,google_places
ChIJozdB5U2f0DER_zqRK1s4vn4,Sri Tanjung Pharmacy,"PTD 5141, Jalan Utama 3, Taman Utama, 81500 Pekan Nanas, Johor Darul Ta'zim, Malaysia",1.5047910999999998,103.5179449,google_places
ChIJm0t4m3ZB2jERtc1572Jw4Gw,TAKZIM PHARMACY,"39, Jalan Jambu 1, Taman Kota Masai, 81700 Pasir Gudang, Johor Darul Ta'zim, Malaysia",1.4902512,103.9509305,google_places
ChIJgYingBly2jERkmJYBWyN-8E,The Family Pharmacy,"Livistonia Square, 7, Jalan Setia Tropika 1/15, Setia Tropika, 81200 Johor Bahru, Johor, Malaysia",1.5454883,103.7116908,google_places
ChIJe_VbsAkL2jERc-LXrcjcYZw,The Zyfas Pharma,"15, Jalan Mega 1/5, 81550 Gelang Patah, Johor Darul Ta'zim, Malaysia",1.4421739,103.6047957,google_places
ChIJO6qt-bif0DERVe8091J8HTQ,Thetacare Pharmacy,"92, Jalan Utama 3, Taman Utama, 81500 Pekan Nanas, Johor Darul Ta'zim, Malaysia",1.5044465,103.5183502,google_places
ChIJufTDKJ572jERUa2NkZGwPYM,U PHARMACY 优西药剂行,"Lot 162 & 163, TJ Mart, Batu 17 1/2, Jalan Air Hitam, Saleng, 81400 Kulai, Johor Darul Ta'zim, Malaysia",1.6311543,103.6308331,google_places
